Kode Butir,Domain,Kelompok Standar,Standar,Sub-standar,Pernyataan Butir,Indikator Ketercapaian,Dasar Hukum,Dokumen/Bukti Wajib,Metode Verifikasi,Sumber Data,Tahap Audit,Lapis Audit,Sasaran Auditee,Jenis Jawaban,Bobot,Butir Kritis,Status
AMI8.PDD.L.01,Pendidikan,Luaran,Standar Kompetensi Lulusan,,Capaian pembelajaran lulusan (CPL) program studi dirumuskan mencakup empat ranah kompetensi wajib.,CPL memuat: (a) penguasaan iptek dan kecakapan spesifik bidang keilmuan; (b) kecakapan umum; (c) pengetahuan dan keterampilan untuk dunia kerja/studi lanjut/sertifikat profesi; (d) kemampuan intelektual berpikir mandiri dan kritis. Keempatnya dapat ditunjukkan pada dokumen kurikulum.,Permen 39/2025 Pasal 6-7,Dokumen Kurikulum OBE; matriks CPL; SK penetapan kurikulum,Telaah Dokumen; Wawancara,Dokumen Prodi,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Skala 0-4,5,Ya,Aktif
AMI8.PDD.L.02,Pendidikan,Luaran,Standar Kompetensi Lulusan,,"CPL disusun oleh unit pengelola program studi dengan melibatkan pemangku kepentingan dan/atau dunia usaha, dunia industri, dan dunia kerja.","Tersedia berita acara/daftar hadir/notulen lokakarya kurikulum yang menunjukkan keterlibatan pemangku kepentingan eksternal dan DUDI, beserta rekam usulan yang diakomodasi.",Permen 39/2025 Pasal 8 ayat (1),Berita acara lokakarya kurikulum; daftar hadir; notulen; dokumentasi,Telaah Dokumen; Wawancara,Dokumen Prodi,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Skala 0-4,5,Tidak,Aktif
AMI8.PDD.L.03,Pendidikan,Luaran,Standar Kompetensi Lulusan,,Perumusan CPL memperhatikan tujuh acuan yang ditetapkan peraturan.,"Dapat ditunjukkan penelusuran CPL terhadap: visi-misi PT, KKNI, perkembangan iptek, kebutuhan kompetensi kerja, ranah keilmuan prodi, kompetensi utama lulusan, dan kurikulum prodi sejenis.",Permen 39/2025 Pasal 8 ayat (2),Matriks penelusuran CPL; dokumen analisis kebutuhan,Telaah Dokumen,Dokumen Prodi,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Skala 0-4,5,Tidak,Aktif
AMI8.PDD.L.04,Pendidikan,Luaran,Standar Kompetensi Lulusan,,CPL diinformasikan kepada mahasiswa pada program studi tersebut.,"CPL dapat diakses mahasiswa melalui laman prodi, buku pedoman akademik, RPS, atau LMS; terdapat bukti sosialisasi.",Permen 39/2025 Pasal 8 ayat (3),Tangkapan layar laman/LMS; buku pedoman akademik; berita acara sosialisasi,Telaah Dokumen; Wawancara,Dokumen Prodi,Keduanya,Kepatuhan SN Dikti,Program Studi,Ya/Tidak,3,Tidak,Aktif
AMI8.PDD.L.05,Pendidikan,Luaran,Standar Kompetensi Lulusan,,"CPL diturunkan ke dalam mata kuliah, dan setiap mata kuliah memiliki capaian pembelajaran mata kuliah yang berkontribusi pada CPL.",Tersedia matriks CPL x mata kuliah yang lengkap; setiap CPL tercakup minimal satu mata kuliah; setiap mata kuliah memiliki CPMK yang terpetakan ke CPL.,Permen 39/2025 Pasal 8 ayat (4) dan (5),Matriks CPL-CPMK-MK; RPS seluruh mata kuliah,Telaah Dokumen,Dokumen Prodi,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Skala 0-4,5,Tidak,Aktif
AMI8.PDD.L.06,Pendidikan,Luaran,Standar Kompetensi Lulusan,,"Kompetensi utama lulusan program studi mengacu pada rumusan asosiasi program studi sejenis, atau ditetapkan perguruan tinggi bila asosiasi belum terbentuk.","Terdapat rujukan tertulis pada rumusan asosiasi prodi sejenis; bila belum ada asosiasi, terdapat SK penetapan kompetensi utama oleh perguruan tinggi.",Permen 39/2025 Pasal 9 dan Pasal 10,Rumusan asosiasi prodi; SK penetapan kompetensi utama,Telaah Dokumen,Dokumen Prodi,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Skala 0-4,5,Tidak,Aktif
AMI8.PDD.L.07,Pendidikan,Luaran,Standar Kompetensi Lulusan,,Kriteria kelulusan mahasiswa memenuhi ambang indeks prestasi kumulatif yang ditetapkan peraturan.,"IPK kelulusan >= 2,00 untuk program diploma dan sarjana/sarjana terapan; >= 3,00 untuk program profesi, magister, spesialis, doktor, dan subspesialis. Tidak terdapat lulusan di bawah ambang pada data PD Dikti.",Permen 39/2025 Pasal 30,Data kelulusan PD Dikti; SK yudisium; pedoman akademik,Verifikasi PD Dikti; Telaah Dokumen,PD Dikti,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Ya/Tidak,5,Ya,Aktif
AMI8.PDD.L.08,Pendidikan,Luaran,Standar Kompetensi Lulusan,,Program studi memastikan ketercapaian kompetensi lulusan melalui tugas akhir atau melalui kurikulum berbasis proyek dengan asesmen yang menunjukkan ketercapaian kompetensi.,"Terdapat kebijakan tertulis mengenai bentuk tugas akhir (skripsi/prototipe/proyek/bentuk sejenis) atau mekanisme asesmen kurikulum berbasis proyek, beserta bukti penerapannya pada minimal satu angkatan.",Permen 39/2025 Pasal 18 ayat (9),Pedoman tugas akhir; SK bentuk tugas akhir; contoh dokumen asesmen,Telaah Dokumen; Wawancara,Dokumen Prodi,Keduanya,Kepatuhan SN Dikti,Program Studi,Skala 0-4,5,Tidak,Aktif
AMI8.PDD.L.09,Pendidikan,Luaran,Standar Kompetensi Lulusan,,Tingkat serapan lulusan di dunia kerja terukur melalui studi pelacakan lulusan.,Tracer study dilaksanakan minimal setahun sekali dengan tingkat respons terdokumentasi; tersedia data masa tunggu dan kesesuaian bidang kerja; hasilnya dibahas dalam evaluasi kurikulum.,Permen 39/2025 Pasal 25 ayat (2) huruf e,Laporan tracer study; instrumen; rekap responden; notulen pembahasan,Telaah Dokumen; Wawancara,Survei/Tracer,Keduanya,Kepatuhan SN Dikti,Program Studi,Skala 0-4,5,Tidak,Aktif
AMI8.PDD.L.10,Pendidikan,Luaran,Standar Kompetensi Lulusan,,Lulusan dan mahasiswa memperoleh rekognisi atau prestasi pada tingkat nasional dan/atau internasional.,"Terdapat bukti prestasi/rekognisi mahasiswa dan lulusan tiga tahun terakhir pada tingkat nasional dan internasional, terekam pada sistem kemahasiswaan.",Kriteria melampaui SN Dikti (Pasal 73/74 ayat 6); Standar Mutu UNISAN,Sertifikat/piagam; SK; rekap prestasi,Telaah Dokumen,Dokumen UPPS,Desk Evaluasi,Pelampauan (Unggul),Program Studi,Numerik,3,Tidak,Aktif
AMI8.PDD.P.01,Pendidikan,Proses,Standar Proses Pembelajaran,,"Perencanaan proses pembelajaran memuat rumusan capaian pembelajaran, strategi dan metode pencapaian, serta cara menilai ketercapaiannya.",Seluruh RPS memuat ketiga unsur tersebut; RPS tersedia untuk 100% mata kuliah yang ditawarkan pada semester berjalan.,Permen 39/2025 Pasal 12 ayat (1),RPS seluruh mata kuliah; rekap kelengkapan RPS,Telaah Dokumen,Dokumen Prodi,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Persentase,3,Tidak,Aktif
AMI8.PDD.P.02,Pendidikan,Proses,Standar Proses Pembelajaran,,Perencanaan pembelajaran disusun oleh dosen dan/atau tim dosen pengampu dalam koordinasi unit pengelola program studi.,Terdapat bukti koordinasi penyusunan RPS (rapat/berita acara/validasi Kaprodi) dan RPS disahkan oleh pejabat berwenang.,Permen 39/2025 Pasal 12 ayat (2),Berita acara rapat dosen pengampu; RPS bertanda tangan pengesahan,Telaah Dokumen; Wawancara,Dokumen Prodi,Keduanya,Kepatuhan SN Dikti,Program Studi,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.P.03,Pendidikan,Proses,Standar Proses Pembelajaran,,Pelaksanaan pembelajaran mengacu pada perencanaan dan memanfaatkan sumber pembelajaran yang tepat.,Realisasi pertemuan sesuai RPS minimal 90%; jurnal/berita acara perkuliahan terisi; sumber belajar yang tercantum di RPS tersedia dan dapat diakses mahasiswa.,Permen 39/2025 Pasal 13,Jurnal perkuliahan; presensi; data LMS; RPS,Telaah Dokumen; Observasi Lapangan; Wawancara,SIMAK/SIA,Keduanya,Kepatuhan SN Dikti,Program Studi,Persentase,3,Tidak,Aktif
AMI8.PDD.P.04,Pendidikan,Proses,Standar Proses Pembelajaran,,"Proses pembelajaran diselenggarakan dengan menciptakan suasana belajar yang menyenangkan, inklusif, kolaboratif, kreatif, dan efektif.",Hasil survei kepuasan mahasiswa terhadap proses pembelajaran tersedia dan dianalisis; terdapat bukti penggunaan metode pembelajaran kolaboratif/aktif.,Permen 39/2025 Pasal 14 ayat (1) huruf a,Laporan survei kepuasan mahasiswa; RPS; dokumentasi pembelajaran,Telaah Dokumen; Wawancara; Observasi Lapangan,Survei/Tracer,Keduanya,Kepatuhan SN Dikti,Program Studi,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.P.05,Pendidikan,Proses,Standar Proses Pembelajaran,,"Program studi memberikan kesempatan belajar yang sama tanpa membedakan latar belakang pendidikan, sosial, ekonomi, budaya, bahasa, jalur penerimaan, dan kebutuhan khusus mahasiswa.",Terdapat kebijakan tertulis nondiskriminasi; tidak terdapat perlakuan berbeda pada layanan akademik berdasarkan jalur masuk; akomodasi bagi mahasiswa berkebutuhan khusus tersedia.,Permen 39/2025 Pasal 14 ayat (1) huruf b,Kebijakan/pedoman akademik; bukti akomodasi; wawancara mahasiswa,Telaah Dokumen; Wawancara,Dokumen Universitas,Audit Lapangan,Kepatuhan SN Dikti,Program Studi; UPPS/Fakultas,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.P.06,Pendidikan,Proses,Standar Proses Pembelajaran,,"Perguruan tinggi menjamin keamanan, kenyamanan, dan kesejahteraan sivitas akademika, termasuk pencegahan dan penanganan kekerasan.",Satuan tugas pencegahan dan penanganan kekerasan terbentuk melalui SK dan berfungsi; tersedia kanal pelaporan; terdapat rekam penanganan kasus (atau pernyataan nihil) dan kegiatan pencegahan.,Permen 39/2025 Pasal 14 ayat (1) huruf c dan ayat (2),SK Satgas PPKPT; SOP penanganan; laporan kegiatan; log kanal aduan,Telaah Dokumen; Wawancara; Observasi Lapangan,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Universitas; UPPS/Fakultas,Skala 0-4,5,Ya,Aktif
AMI8.PDD.P.07,Pendidikan,Proses,Standar Proses Pembelajaran,,"Perguruan tinggi memberikan fleksibilitas proses pendidikan berupa moda pembelajaran, keleluasaan tahapan kurikulum, dan rekognisi pembelajaran lampau.","Terdapat kebijakan tertulis mengenai moda tatap muka/jarak jauh/kombinasi, keleluasaan tahapan kurikulum, dan mekanisme RPL, beserta bukti implementasinya.",Permen 39/2025 Pasal 14 ayat (3),Peraturan Rektor tentang pembelajaran dan RPL; data pelaksanaan RPL,Telaah Dokumen; Wawancara,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Program Studi,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.P.08,Pendidikan,Proses,Standar Proses Pembelajaran,,Beban belajar dinyatakan dalam satuan kredit semester dengan takaran 1 sks setara 45 jam per semester.,Perhitungan beban belajar pada kurikulum dan RPS konsisten dengan ketentuan 1 sks = 45 jam per semester untuk seluruh bentuk pembelajaran.,Permen 39/2025 Pasal 15 ayat (4) dan ayat (6),Dokumen kurikulum; RPS; tabel perhitungan sks,Telaah Dokumen,Dokumen Prodi,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Ya/Tidak,3,Tidak,Aktif
AMI8.PDD.P.09,Pendidikan,Proses,Standar Proses Pembelajaran,,"Beban belajar dan Masa Tempuh Kurikulum program sarjana/sarjana terapan paling sedikit 144 sks yang dirancang selama 8 semester, dengan distribusi sks sesuai ketentuan.",Total sks kurikulum >= 144; semester 1 dan 2 paling banyak 20 sks; semester 3 dan seterusnya paling banyak 24 sks; semester antara paling banyak 9 sks.,"Permen 39/2025 Pasal 18 ayat (1), (2), (3)",Struktur kurikulum per semester; SK kurikulum,Telaah Dokumen; Verifikasi PD Dikti,Dokumen Prodi,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Ya/Tidak,3,Ya,Aktif
AMI8.PDD.P.10,Pendidikan,Proses,Standar Proses Pembelajaran,,"Pemenuhan beban belajar dilakukan melalui beragam bentuk pembelajaran dan kegiatan belajar terbimbing, penugasan terstruktur, dan mandiri.","Kurikulum memuat lebih dari satu bentuk pembelajaran (kuliah, praktikum, magang, penelitian, PkM, dan lainnya); RPS mencantumkan ketiga jenis kegiatan belajar.",Permen 39/2025 Pasal 16 ayat (1) dan (2),Dokumen kurikulum; RPS,Telaah Dokumen,Dokumen Prodi,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.P.11,Pendidikan,Proses,Standar Proses Pembelajaran,,Perguruan tinggi memfasilitasi pemenuhan sebagian beban belajar di luar program studi dan kegiatan magang.,"Terdapat kebijakan, perjanjian kerja sama, dan mekanisme konversi/rekognisi sks; tersedia data mahasiswa yang memanfaatkan dan terekam pada PD Dikti.","Permen 39/2025 Pasal 18 ayat (4), (6), (7)",Kebijakan MBKM; dokumen kerja sama; SK konversi; data PD Dikti,Telaah Dokumen; Verifikasi PD Dikti; Wawancara,PD Dikti,Keduanya,Kepatuhan SN Dikti,Program Studi; UPPS/Fakultas,Skala 0-4,3,Tidak,Aktif
